Sentence,Alternative1,Alternative2,Alternative3
Mary wasn't the first one who said she wanted to do that.,ma lywas m tt  hefi rstonewho saitshe wan d edto   tothat,iwast heomewh o to ldma  rydhat s  hes houldn tdothat,
I don't want to drink anything.,i dond wan ttodrink anyth img,notha ngz iton tdlin g,iwomddring t hat 
Mary told Tom that she had to go.,m aly told  domthat zh eha dtoko,,mal ysai dsh eheardt  omzaydh at
I didn't go with Tom.,id it nt  kowithton  itidn tkive domc h,itit nt h aveto  kowidhtom ,oice
Powerlifting makes me feel like a super hero in my everyday life.,w erliftin   gmagesm efeerr  i geaz uperheroi mmyeverytaylife  your lovekafe net hestlen g dh dogoon,p o,
You make me feel uncomfortable.,youmagem efee lumco mf ortable,amina kimg you f eelawg wald,iveltkind ofi nd inidat ed
I hope that Tom understands how grateful I am.,ih obedhatdo mu nd elstands  ho wk rat,iwa ntdomtou mte rzta n dthat,efuriam
There is a shared knowledge.,ereisaz haletkno wl edg e  i,dh,kn owdhat youh aveid
This is the essence of Islam.,islanof ferst hedru dh t hi si stheezzen ceofi ,,sram
There are a lot of people here today.,t h erear eal otof  beopl  eheretoday,,mowa days many pe opletlave lbycar
"""The Invisible Guest"" is called ""L'Accusé"" in French.",thei nviziblek uez ti sc al  red laccusé imfrench, ri be rdyequalidy fraternityisafrenchmo tt o,
Tom will follow my advice.,tonwillf orl ow my advice,i fe advi zetto mtot odhat,tona dfised m etogoth el e
He is busy correcting test papers.,hei sbusy co lrecd inktestpa pels,het urne tin  aplangte st baper,nen madwasle fisin gvorh is exams
It's a matter of the utmost importance.,t hi sisanimport ant madder itsamadte lofdheud m ozt,,impo r tance 
Tom didn't want to believe the rumor about Mary and John.,ar maryandjohmwhi zpeling tom titnt wamdtobel i evedher unol abou t ma  lyandjohn,onp re tende d noddohe,to man tna lysai dthe yd idntt hin kj ohndidthat
She stopped to catch her breath.,e ddocatc hhe rblea th,shesto pp,itbecaneincr ea singryhardto   bleathe
We can never thank Tom enough.,we c an neve r thamktonenough,w ec ourtndzto ptom,w elespe ctt omalo t
I don't think Tom and Mary like to swim.,zwi mmi mkto gedher i tom t t hinkdomamdmaryli ket os w in,dnary go,i tom dth ingtomand nar ykno  wthat i  don drikethen
Tom hasn't unpacked yet.,t omhasn tunpa ckedyet,don iz ntdoingdhatr ikh tm ow,domtit ntob e nt heenverope
I can't believe you told him that.,n t berievey out or dhindhat  zhesa idshecou rdmtbe lievei t,ic a,
I can't help you because I'm too busy.,ic am dhelp yoube c ausei mdo obusy  icandtodh a twit hou the ,inzor ry icou ltntherbt h em,lp
Our teacher is a martial arts expert.,eachelizanaldia  lalt sexpe rt  im currentl yat eac heradt hi,ou r t,sschoor
Ziri has got time.,z i rihaz  goddine,,ziliis l ea tydogo 
Tom said he'd call me right back.,zai the tcall merig htback,t o m,t om za id thathe dca rl pac kaszoona s hecould
Sami had only one option: kill or die.,zam ih adonly one optio mk illo ldie,zamiende dubd e ad,z a miwazhavin gazhit 
That isn't what they're after.,thatis ntw had theyrea vter,i tisn d thata tall,th atznotactua rlywh adhapbe ned
Anyone can run for class president.,y onecanrunfor classb l esidem t,an,it roo kedl ige noo  necou ltstoppresitemdrea kam
I didn't see anyone skating.,noon eha ssee ny ou i didndseeamyones,, ka dimk 
The gathering has been cancelled because of rain.,dhe gatherink hazb eencam celret pecauze ofla in,dhe ri ve lswe reflo odedpyd heh eavyrain,itb ein kra imyi cou l dnotg ooud
Trans ideology is becoming a religion.,zit e ology isbec omimgareligiom  s heis amus limco nfelt,tr an,
Maybe Mary doesn't know what she did was wrong.,may benarytoesm t knowwhads  hedidw  as wlomk  maryi sn t sur ehowsh egothel e,nay bedomdoesn dkm o wtha  tmaryw as th e onewhotidthat ,
The catechist studied.,techistztu died  thez dutentsstud ied i mpairs,theca ,
I know nothing about mathematics.,kno wev erydhimg the leisd o kmow ab outthad ikn ownodhimg about ,ikm owidomt,mathemat ics
He looked like he was going to cry.,h erooke dlik  ehewa sgoingto cly ,heloo ke dligehe wasgoi m gtos tartcr y  ingagain,yo uco  uldseehew  azamgry
I'll see you at the library tomorrow.,lzeeyoua tthelibr a ryd o norrow  o gi r lzeeyoutomor row,i l,
Could you tell me the way to the zoo?,icev ron hi okapark c our dyou t ell m e th,howtoi gedto yo ul ovv,ewaydothes oo
I am massaging my foot.,am mas sagin kmyvoo d  iamri mpi ng arong,i,
Tom and I went to high school together., ma ndiwen dtohikh zch oolt ogether  tonan di ha veprokenu b,t o,
All the children loved and adored Tom.,allthe chi ld renlofedamta d oredt on,,d omrof ezhim
Did you bring me what you said you would?,whyd ityo ude llne tidyo up limg mewhat yousa idy ouw  ourd,,d idyo uwl itetowne ve rydhi mg itordyou
I just called to say 'I love you'.,ig noww h adtoz ay iju stdond knowhow tosayit i ju s tcar reddoza yil ove,, you
You've got to stay here until we get back.,u  vekodd o sday h ereunt ilwekedpa ck  w ezho urdgeto ud ofher,yo,el ightaw ay
Is this your picture?,isdh isyo urbictu re,aredhe seyoul s,a reyo uim ond his
I used to respect Tom.,we lesp ect tona lot iuse dtore s pec tt,,om
He was filled with wonder.,hewa sfill  etw ithwomtel  d hadsurprized ,iw as fascina de twithhin,her
She doesn't love anyone except herself.,ne zh edoe sndlof eanyonee,shes nolonge laro,x  cepdhelserf
He was DJing alongside me.,ovo rrowhim he wasdjinkalo n,hemot ioned met, kz iteme
I didn't think about that.,bo utthisatarr idi dm tthin gabout thad,imn o tz urea,hey iarr eatyth ou ghtofth ad
When was the last time that you ate out?,th e l astti met hatyo  uateout  whe nw azdh ela stdim e,whenwas ,yous l ebtinat emt
I did not tell him what you had written in this letter.,i sretdel i ti dmot delrhimwh aty o uhatw r itteni ndh  isredder,m oon et ord n ewhattheywlot eimdh,iw l ode that forhim
He has the election under his belt.,heer ec dionu nde lhis belt  hei s en kaged inamoc,heha st,cupa tio mofhisown choice
Sami wanted to start his own business.,ablay samiwamte ttoztard hi sown puzi n ess,opeapal t o f,sami u settoc udhims elv
Sami is already working on an appeal.,za miis alrea tywor kin gonan appeal,s aniis worki nko nit,zamiar rivedatw olk 
The sled accelerated as it went down the icy slope.,a vr agmemdofi ce vloat edby the zletacce lelate dasitwe mt down d  h,,eicysrop e
"Now you are sixteen, you should know better.", de r nowy oual ezi xtee nyo uzhour tgmo wbedter,yo uzhoultknowpet,youreplobabl yt ooyoung t ound ersdandth is
Felix usually leaves at five.,usuar ly lea vesatvi fe,velix,verix wenddo wnin tot  hadpazem  enta lrpyhinzerv
The meeting won't be taking place.,dhe needi mgwont pe tak img place,,isukgezdett heme e timk z houl dbepostponed
She hid her weapons.,l mz shehid he rweabo mz,a,sh esaidthat z h eh adakmi ve
I need to know exactly what happened here yesterday.,whathap p ened  hereye  zterday  idid mtkm oww hatw az koinktoh appen,ine edtoknowexactry ,
Sami skipped his biology test.,k ibbedhizp iologytezt  za mifi lretdhepa perworgo ud,s am is,
I'll call the police.,lc alr thepolic e  i tid n’tw am d tocallthepo,ir,rice
I just lay there.,ij u sd raydhere,iaml i npin garong,iveonlyju sd be kun
Don't be so picky.,don  tbesopic ky  t,don tbeapu s zy,om
Mary is dead because of your irresponsibility.,naryisdeatb ecaus  eovyourirr espo  nzipility,to m blamesnaryf ordezdroyi mghisli feinlea ri tyhedes  tr  oyedithinze lf,maryknowzy ou di dnd ead t heca ges heba kedf oryou
Now I feel so stupid.,ea llyco nvuzedrik hdmow n owife ers oztup it,i nr,im sos icg of dhis
Tom got expelled from school for fighting., dfromscho orv olfigh tink  tomw,dom k otexpelre,emdto muzic schoo r
"After opening, please eat as soon as possible.",hin kdoeat a fte rope n imgple azeeadasz,no wd ha tyouvec a rnetdownle dsgogra bzomet,  oonaspossible
He is engaged in an occupation of his own choice.,the el ectiomun derh i sbelt heiseng age dinam o ccupat io n of hiso,hehas,wmchoi ce
Movies are scripted. Real life is not.,mof ie sares cribdet re alliv e isnot,,fi cdi omisob rikeddost icg topozsibilid iestruthi s mt
Tom isn't likely to be desperate.,tomiz nt ligeryto b edes per ate,,i hob eto nismdpl oge
Tom lent all the money he had on him to me.,atem om eyh antofel fizt t omle  mtalldh em  oneyhe ha  dom hintome,domm,t ongaveme a sh ove
Tom has a pile of textbooks on his desk.,do nhas a bireo  vde x tboo ksomhis desg,,tomp oumt edh i  sfis donhisdesk
I'd like to be more than just friends.,moredh anjuzdf ri en dz  idra thellife alo ne,i dlike top e,
She's famous as a singer but not as a poet.,sh es famousas as  in gelbu tnot azabo  ed,z hei sndv erydal ended isshe,
Tom and Mary keep their uniforms clean.,to nand m a rykeeb thei lunifolmsclean  tomantma ryl olletupd heir sle e,to mandnary jus tg otth eirbl a cesofv,ves
Adriano practised Islam.,at liamo pracdisedizla  m,ziricomver ted doi s ramvr omsh eeladmiradion,
Is fast food causing an obesity epidemic? More about that after this McDonald's commercial.,i sfasdvoot cauzi mkan op esidyep idemicmoleab oudtha ta  ftert,ope s idy iz zuch abi gizsuerik htnow,h izncdona ld scommerciar
You must cherish your freedoms.,youmusd cherishyourvr eet   om s,yo urv re etonztopswheremyv l eedompeg inz,
Ziri didn't mind.,zil iditmtmi  n d,ziridoez mtb lay,
Mary kept on flirting with him.,ebdomfri lting  withhim  maryzdrai ne dhe rpack,na ly g,
Ziri always wore a tuxedo.,ays wolea tuxedo,si rial w,zirimevermiss es 
Mennad isn't taking any medicine.,menmati sn tta kimgamynetici m  e,nem nadizmot exen pt,
"You need answers, don't you?",you meeta nswers don tyou  that isdheques t,youmuzt answe rthes equezdio nz,iony o une eddoask yo urselvez
I'm hoping you'll agree to do that.,i mh opimg y oulrak reedo dothat  i m veryhappy y ouf,iwan dy  outopr   omizenet hady oulltot hat,eagreettot ot hat
Tom knew Mary couldn't speak French.,marycourdmtsbe a kfrench ,t om gnew,tom i zmdsurethadm aryc anu n delstantfr ench
I'm going to organize a party.,ing tool g anizeapalty  it lig,i n go,etoma geamappoin tnen t
Tom and Mary have made a startling discovery.,donam dnalyha ve made a stald rimkd i scovery,,tonam dma ryjus d gotdheilp rac ez off
The guys standing over there are Tom and John.,thegu yzsta ndi nk ove rthe l ear etomandjohn,do man d jo hmhit eachodher,d o mantjohn zhar ea room
Sami was searching for his twins.,zaniwas s ealchi n gfor h isdwimz,,s a mihasbee nseeingan othe rgirl
He's at the post office sending a package to a friend.,hesa td hepo sto v f ice semtinga bacgag e doafliemd,it ookh inv olmy close  frient,the re saretdelind he ma ilpo xvol you
All I know is that I know nothing.,ar rik no wisth  atig no wnothimg,ignow i domt kmowefe ryth ingth eleis tokmo  wa b outdhad,idon tg no wyoudo n tgn owany dhingto you
Tom has broken both his arms.,mh asbl okembot hh isarms  don ha dah am me,do ,r inhishand
Questions have begun to surface about your involvement in the scandal.,quezti onsh af ebegum dosur f aceaboudyourinvolvem  endindhes canta l  zhet id ,fati lstarteddo b ragabou thisr obb eriez,nod
I thought that Tom wasn't absent.,id h oughttonwasn tawag e it houghtt hatt omw,,as ndabse nt
We discussed the matter.,wedi scuszett h  enatd el,we weretalk in g apoutthis,
Throat and nose membranes hurt by dry air allow cold viruses to enter more easily. It is important to carry out sensible counter plans against the cold with heaters and against the dryness with humidifiers.,t hloadan dm ozememblan esh urd bydlya ir  allow cortf i r  uz est oender nol eeasiryidisimpordanddocar  lyoudse ns ipreco unte rpla nsa ga ins tth ecoltwi thheat ersantaga inzddh et rynessw idhhumidifiers,,ihobeth at id ontca  tch ac old
We took advantage of the sunny weather to go on a picnic.,wed ooka d fantage ofdh esun ny we   adhe ltokoonabicnic,we aban tome tt he pl  antogoon apicmic,werove k oingo npic mics
I think that Tom may not be able to do that for us.,i thinkd ha  ddom mayno db eab  le tot othatf oruz,idom td  himk toni zk oimgdo bea bl edo do that,
Everybody's doing that.,eferybodyz doing dhad  notefe rybodyligezdoi ngd hi s,everyo neizdoi nkdha t,
Do you still want this?, youwamd t his d oyo uzti rlwa mtthis,domd,yo udom tw antdhis d oyou
Tom tried to persuade Mary not to leave.,to m tli edd opersuade nary nodtoleaf e,dompr eat et wit hmaly mottore ave,do mpe l suadedm alytog otot hep alty
It is the patient who knows if he is in pain.,m enmad isapa tiend i ti sth eb a tiem t whogn owsivhe isim pain,,t om wa mt ztokn owiv ithultz
I know how much you care for me.,ulddo the sam eforn e ign ow  how much youca r efo,i kno wthaty ouwo,rme
I see a surge in loan growth.,i zee asurk eiml oamgro wth ,is e eacupm adeof shi mink  ivory,i sawamopst ac leind he ztreet 
I've advised Tom to do that.,isettomto dod h ad  ih ad av eelinkdom wo u l ddothat,iv ea dv,
I want to know if you will refund the full purchase price.,fy  ouw illre f umdd hevullp  ulc hase brice  idsopfi ousdha dyoure interesteti,iwamdtokno wi,nbuyi mgd h isd resz
Tom is always pessimistic about everything.,tonhazarw ay s pee nzpoiled tomisalways pessimisdi c a,,po utevery thing
"You weren't surprised that I needed to do that, were you?",you wer ent sur prize  dthatineed  ed to doth adwereyou,,ididn tl eal izeyou wante dt ododha t
"I'm a teacher, not a student.",i mad each ermo tasdu demt,im mo ta pupir,i n curle ntlyate ac heratth isschool
Where has Will gone?,al ethek itz whereh aswir,where, rko ne
Ziri told Rima to be quiet.,ziri tor dri nato pequi,z irizhowe dthel ea f lettorina,e t
She coughed.,she coukhed  shesl i,zhedhre wu p,pbed
Read more books.,re admoreb o,i tont  wa n ttoleadmore,okz
Sami felt like Layla was disrespecting him.,ldr ige laylawa zdislezpe c t imghim  zan itoe smdth imk laylare cognizedhin,samife,
It must be a difficult situation for you all.,idm u sd beatif  ficurtsitua tionfolyou  all,wel evacetwithad ifvic uldz itua dion,you nu ztmagea mef for tt oge talonkwithe  feryone
Why does Tom look so sad?,t omlo ok s os at  w hy izto nac timg thizway,whydoez,
He is not interested in it.,he izno tind  e restedinit,hedoe zntgiv e atam nabou tthat ,lo ogin nodintere zted
Tom and Mary said the noise didn't bother them., mantma lyzaiddh a t the ywereo ferwhelned to nam t marysaitt henoi s etidmtb odherd hen,to,d onan dmary  zai dtheyr ikethe  sou ndovthad
Tom is an explosives expert.,t omisanexp loz if  esex pert,tom isapr ovessiomal wleztl el,
There's no other choice.,esnoo dherc hoice  we h afemo,dhe r,ch oi cebut dokirr
I felt a deep pain.,iv eldadee bp  ain,ia m inbai n,if ee loverheaded
I tried to speak.,idriedd os pe ak,zhew e mtoms peaking,i triet tozta yb usy
We just got here today.,we jus tgodher e totay  ijusd s tarded totay,h earr ivedhere sav eryyestelday,
I can't find them either.,icantf i ndthene ithe r,ihavemt vo und itamywher e,i sdilrca m tleacht hen
Felix went down into that basement all by himself.,fe ri xwen tdowni ndo dhatbas enendallby himsel f  f eli xdev inite lyputaztopt,vel ixzt ay eddhe leimthepadhl oom, othatr ikh tawa y
I'm sure that Tom and Mary can take care of themselves.,ar yha vetoleave im zure that do ma ntm arycam tak ecaleofth  enzerves,isu zpe cdton ant m,i zuspecddha d domamt  malyarepu  zsled
Tom and Mary loved living on the ranch with their grandparents.,toma n dmarylo vedl ivingo nthelanch w id htheir g  ra ndbaremtz,t o nantm  alyenjoyettheirsta y,
I'm surprised that nobody found him.,ih av emtvoumditanyw hele i msurbr izetdha tnob,,otyv ount him
I can't stand know-it-alls like Tom.,owtom isa lot likeme icantsda m tknowi darl zrik eton,i kn ,ivemever stoppedr ofi  ngdom
Tom put his hand over Mary's mouth.,t ombuthis ha  ndoverma rysmo u,do namd maryroll edubtheirz r  eeves,dh
"Deluded by the imprudent language of my looks, she surrendered to the sweet belief that she was the idol of these looks.",ie ws del utedbydhei np rudent lang uageof  my rooksshez urr ent  eledtodhe zwee dper i ev   thatz hewastheid oloftheselooks,izymbathiz edw ithherf,zhewasz oc riticalofm y bel be  raccemt
Tom looks like a wise man.,t on lookz rige a,t omi sgoim gtoloo  krig   eami  tiotifhedoes that,wis enan
He feels cold.,heveelz c old,hes munp,hee asil ycad chescolt
Tom and Mary have a nice home.,a ntmaryhav eami   cehome,d om,t o mand naryri veo ffdh ekrit
Tom is a much better swimmer than Mary is.,tomis amu chbe tde rzwimm e rtham,to m isamuc hb ettelc heszpray erd h anmary,m a ryiz
